Date : 2023-04-19 19:19:04
Directory : /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web
Total : 125 files,  7124 codes, 542 comments, 1068 blanks, all 8734 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._profession-page.html           | HTML       |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._register.html                  | HTML       |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/css/._main.css                   | CSS        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/css/._reset.css                  | CSS        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/db/._db.sql                      | SQL        |          2 |          0 |          0 |          2 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/font/._readme.html               | HTML       |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/js/._expert.js                   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/js/._expertcheckbox.js           | JavaScript |          2 |          0 |          0 |          2 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/resources/._font-awesome.min.css | CSS        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/admin.html                                | HTML       |        260 |          0 |         78 |        338 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/admin.php                                 | PHP        |         31 |          0 |          3 |         34 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/check_admin.php                   | PHP        |         12 |          0 |          4 |         16 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/config.php                        | PHP        |         10 |          0 |          4 |         14 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_categories.php                | PHP        |         13 |          0 |         10 |         23 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_contacts.php                  | PHP        |         17 |          1 |          6 |         24 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_internal.php                  | PHP        |         11 |          1 |          6 |         18 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_internals_by_category.php     | PHP        |         15 |          0 |         10 |         25 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_name.php                      | PHP        |          7 |          0 |          3 |         10 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_name_and_telegram_by_id.php   | PHP        |         18 |          1 |          8 |         27 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_profession.php                | PHP        |         19 |          1 |          7 |         27 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_profession_info.php           | PHP        |         12 |          0 |          8 |         20 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_professions.php               | PHP        |         17 |          1 |          6 |         24 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_ratings.php                   | PHP        |         15 |          1 |         11 |         27 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_resuslt_test.php              | PHP        |         15 |          2 |         12 |         29 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_test_name.php                 | PHP        |         15 |          1 |         12 |         28 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_test_result.php               | PHP        |         15 |          1 |         12 |         28 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_test_result_user.php          | PHP        |         16 |          1 |         11 |         28 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_tests.php                     | PHP        |         17 |          1 |          6 |         24 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_users.php                     | PHP        |         17 |          1 |          6 |         24 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/insert_prof.php                   | PHP        |         15 |          0 |          7 |         22 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/login.php                         | PHP        |         27 |          6 |          7 |         40 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/logout.php                        | PHP        |          6 |          0 |          3 |          9 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/no_prof.php                       | PHP        |          5 |          0 |          2 |          7 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/rate.php                          | PHP        |         21 |         23 |         14 |         58 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/register.php                      | PHP        |         38 |         17 |         13 |         68 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/save_result.php                   | PHP        |         16 |         11 |         15 |         42 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/contacts.php                              | PHP        |         25 |          0 |          4 |         29 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/hard-circle.css                       | CSS        |        481 |         11 |         76 |        568 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/main.css                              | CSS        |        946 |         27 |        148 |      1,121 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/reset.css                             | CSS        |         72 |          9 |         22 |        103 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/simple-circle.css                     | CSS        |        352 |          8 |         57 |        417 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/db/db.sql                                 | SQL        |        290 |         76 |         40 |        406 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/error.php                                 | PHP        |         28 |          0 |          3 |         31 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/expert.php                                | PHP        |         66 |          0 |          1 |         67 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/expert_prof.php                           | PHP        |        113 |          0 |          4 |        117 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/index.php                                 | PHP        |         26 |          0 |          3 |         29 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-Lab1-home.js                     | JavaScript |         11 |          0 |          2 |         13 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-Lab1-prof.js                     | JavaScript |         24 |         38 |          2 |         64 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-chartF.js                        | JavaScript |        108 |        125 |         30 |        263 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-chartM.js                        | JavaScript |        219 |         21 |         29 |        269 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-expert-chose.js                   | JavaScript |         11 |          1 |          2 |         14 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-expert.js                         | JavaScript |         37 |          2 |          7 |         46 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-expertcheckbox.js                 | JavaScript |         54 |         13 |         23 |         90 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-home.js                           | JavaScript |         11 |          1 |          3 |         15 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-profession-category.js            | JavaScript |         38 |          1 |         10 |         49 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-profession-page.js                | JavaScript |         74 |          0 |          4 |         78 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-color-test.js                     | JavaScript |        155 |          8 |         12 |        175 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-hard-sound.js                     | JavaScript |        169 |         11 |         15 |        195 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-reaction-to-light.js              | JavaScript |        161 |          9 |         13 |        183 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-simple-sound.js                   | JavaScript |        155 |          8 |         13 |        176 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-visual-test.js                    | JavaScript |        126 |          8 |         13 |        147 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab3-hard-circle.js                    | JavaScript |        358 |         44 |         48 |        450 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab3-simple-circle.js                  | JavaScript |        171 |         19 |         25 |        215 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/admin-get-name.js                      | JavaScript |         14 |          0 |          2 |         16 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/admin-tests.js                         | JavaScript |         18 |          0 |          4 |         22 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/admin-users-result.js                  | JavaScript |         14 |          2 |          4 |         20 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/app.js                                 | JavaScript |          9 |          1 |          3 |         13 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2-admin-chart.js                    | JavaScript |         11 |          1 |          3 |         15 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2-contacts.js                       | JavaScript |         13 |          0 |          3 |         16 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2.js                                | JavaScript |         11 |          1 |          3 |         15 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2_test_get_name.js                  | JavaScript |         15 |          8 |          3 |         26 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2_test_get_name1.js                 | JavaScript |         15 |          8 |          3 |         26 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2_test_results.js                   | JavaScript |         18 |          4 |          2 |         24 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2admin_test_results.js              | JavaScript |         18 |          4 |          2 |         24 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/loginANDregister.js                    | JavaScript |         26 |          0 |          2 |         28 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/menu.js                                | JavaScript |         35 |          0 |          4 |         39 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/login.html                                | HTML       |         37 |          0 |          3 |         40 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/loginIndex.php                            | PHP        |         37 |          0 |          3 |         40 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/logout.php                                | PHP        |         23 |          0 |          2 |         25 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/menu.php                                  | PHP        |         56 |          0 |          1 |         57 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/profession_page.php                       | PHP        |         45 |          0 |          6 |         51 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/profile.php                               | PHP        |         58 |          0 |          5 |         63 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/register.html                             | HTML       |         38 |          0 |          3 |         41 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/registerIndex.php                         | PHP        |         55 |          0 |          4 |         59 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/resources/font-awesome.min.css            | CSS        |          1 |          3 |          0 |          4 |
| Total                                                                                    |            |      7,124 |        542 |      1,068 |      8,734 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
